episode,device,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,corr_V_return,explained_variance,var_return,var_residual,V_mean,V_std,return_mean,return_std,wall_time_s
1,mps,150,-93387.43563226704,305,False,-186560.8451358541,1931891532.529271,0.06322611986349026,4.441368198394775,0.9392488929343806,9.083540024323877e-05,256349084.2457723,256325798.67410284,-0.29211111259957157,0.7742327029792608,-40933.96678901444,16010.905166347477,7.378481209016172
2,mps,150,-92483.74323336089,298,False,3.875213860012591,1.2540907009410633,0.05029856318607926,4.441580147743225,0.7698074866607902,0.5814146871498151,1.0920415771578609,0.4571125652200325,-0.8635985405246417,0.693916603573995,0.029137784590578284,1.045007931624378,6.640942750003887
3,mps,16,-256.3470514961601,0,True,10.37836068868637,5.242737293243408,0.01987174723763019,4.618730872869492,-0.9923210698637605,-3129.9324385822833,2.1196295466304294e-05,0.0663641690532267,0.20147013943642378,0.2530432201277212,2.476634584078034,0.004603943469060442,0.6825942079885863
4,mps,150,-97008.22441021338,312,False,2.6972531533675888,1.1137979041399466,0.06407776014258464,4.448313296635946,0.649879700258918,0.4209510770432632,1.1487759984426167,0.6651975046167472,-0.7365397751082977,0.7365439240614577,-0.06676339779333294,1.0718096838723825,6.281189749977784
5,mps,150,-82813.01979325782,270,False,2.866418547779322,0.48246029860747514,0.07546187554796537,4.4470359992980955,0.9465575827873811,0.8959644321829188,0.622260922074704,0.06473726835842236,-0.5211899334192276,0.748738770752405,0.12512503337557337,0.788835167873938,6.230923625000287
6,mps,150,-147169.00385745245,478,False,-5.5423934860527515,1.8244622891096514,0.0690874769538641,4.446107501983643,0.9704240638890473,0.8149237076005889,1.8178484657934026,0.33644065419300084,-0.22157972874740758,0.8282937055112988,-1.44142465067209,1.3482761088862336,6.461431415984407
7,mps,5,6.167638881608362,0,True,5.50293607711792,1.6743212461471557,0.018456408008933067,4.667502403259277,-0.9807373172863897,-8733.980943954268,2.7483745874107287e-07,0.002400699964788089,0.7058637261390686,0.04848268033750575,1.998891363401502,0.0005242494241685658,0.23834870901191607
8,mps,8,-59.863469472248035,0,True,6.101666748523712,1.5185102969408035,0.016110003925859928,4.652468800544739,-0.7034545781186949,-2498.354529509317,1.8358454731613483e-06,0.004588428698824991,0.7350323125720024,0.06677796130253096,1.9654476099817375,0.0013549337523146097,0.33537225000327453
9,mps,150,-98690.17629348006,329,False,0.13867268952773884,0.0668758145600062,0.06908018356810014,4.425295181274414,0.9619331044260948,0.9220397129707649,0.8437033398650406,0.06577535454340284,0.06239172885815303,0.9361377031760539,0.09556488464142156,0.9185332546321013,6.15242804097943
10,mps,150,-85455.84448538322,279,False,0.044647327413161596,0.3587275683204643,0.05830683269227544,4.42742844581604,0.7923129006268055,0.3194340183687673,0.5262635017229514,0.3581570366467704,0.1944095852971077,0.9775914404580711,0.17052373669987433,0.7254402123696697,6.089109833003022
11,mps,150,-100865.00979345158,329,False,-1.2723878805649778,0.19585375905126057,0.06852621516833703,4.430033078193665,0.9640670184695879,0.840039111322554,0.6124292664245978,0.09796472970935495,0.24914791117111842,0.9884297264352578,-0.06372431661134514,0.7825786007964937,6.352891916001681
12,mps,150,-108337.03718422588,352,False,-2.0222162675857542,0.3136571065414076,0.07193811984111866,4.435626509984334,0.9478092705892445,0.8963269333162787,0.9179661890916333,0.09516836993509849,0.23107818519075712,0.951114578692655,-0.23634959695406654,0.9581055208543751,6.17055362497922
13,mps,150,-123406.28293013858,402,False,-2.8539062326153117,0.45628070490434763,0.07509388582160076,4.440936284065247,0.9710265962127553,0.9356337585092845,1.0152902019026322,0.0653504143188221,0.13702807744344075,0.8925740137080774,-0.48821610606265087,1.0076160984733382,6.171535499976017
14,mps,150,-96755.44862662056,320,False,0.01847404823754914,0.058651255499322964,0.06881483495235444,4.4400570106506345,0.964765890165559,0.8762556474536561,0.47395371776264045,0.05864909594147055,-0.0018134558200836183,0.8249308323694559,-0.0003440979717854678,0.6884429662380468,6.108566375012742
15,mps,150,-153271.7230546444,498,False,-3.9975199073056378,1.536764798845752,0.07038202249755462,4.432849311828614,0.7856675872899042,0.5740155925997341,1.8365965493312455,0.7823614927002437,-0.1631479639808337,0.7828810642257485,-1.0317118964307463,1.3552108874013835,6.156317832996137
16,mps,150,-97577.99419573932,323,False,2.0861932512621086,0.5265253242187464,0.06504508497814337,4.4314313411712645,0.737140584485847,0.43099704325597243,0.5275811099797661,0.30019521150078293,-0.3181998087962468,0.7789140514859382,0.15754183575516248,0.7263477885832421,6.1233130840118974
17,mps,150,-116188.86758505492,379,False,0.4800901419048508,0.33216961638706377,0.07129956174641848,4.433547836939494,0.7602113870053574,0.5428438761899463,0.6863007785247344,0.3137466036781897,-0.39247454235951107,0.7849410062500836,-0.2567431461445214,0.8284327241995781,6.289545499981614
18,mps,150,-102738.8611038213,337,False,1.9649375755122553,0.7656099674670456,0.07250938451538483,4.437923158009847,0.6325076002374145,0.3265443585122788,0.7833812353405981,0.527572512375746,-0.40697448790073393,0.799815403916753,0.0809163246602629,0.8850882641525636,6.109771667019231
19,mps,150,-102753.46351257627,336,False,1.607259847180297,0.4956264857984934,0.05358462886263927,4.442638883590698,0.7360847589005203,0.4755192174357623,0.6324810748829373,0.3317241691116732,-0.35829684232672054,0.7901775807380326,0.046551660391773386,0.7952867878211842,6.20268849999411
